Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/P06/current/MMPH/,SDN:P06::MMPH,Millimetres per hour,mm/h,Unavailable,1,false,2008-02-20 11:50:20.0
http://vocab.nerc.ac.uk/collection/P06/current/UVBB/,SDN:P06::UVBB,Centimetres per second,cm/s,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/MMPD/,SDN:P06::MMPD,Millimetres per day,mm/d,A change in location of a distance of one thousandth (0.001) of a metre in an elapsed time of one day (86400 seconds).,4,false,2014-02-04 12:49:44.0
http://vocab.nerc.ac.uk/collection/P06/current/KMDY/,SDN:P06::KMDY,Kilometres per day,km/d,A change in location of a distance of one thousand metres in an elapsed time of one day (86400 seconds).,2,false,2014-02-04 12:49:44.0
http://vocab.nerc.ac.uk/collection/P06/current/KMHR/,SDN:P06::KMHR,Kilometres per hour,km/hr,A change in location of a distance of one thousand metres in an elapsed time of one hour (3600 seconds).,1,false,2020-11-25 11:15:04.0
http://vocab.nerc.ac.uk/collection/P06/current/MMPY/,SDN:P06::MMPY,Millimetres per year,mm/y,A rate of change in length of one thousandth (0.001) of a metre over a period of an average calendar year (365.25 days).,1,false,2019-06-17 13:38:42.0
http://vocab.nerc.ac.uk/collection/P06/current/UKNT/,SDN:P06::UKNT,Knots (nautical miles per hour),Knots,Unavailable,1,false,2000-12-28 12:25:11.0
http://vocab.nerc.ac.uk/collection/P06/current/UCKA/,SDN:P06::UCKA,Centimetres per thousand years,cm/kyr,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/UCUL/,SDN:P06::UCUL,Number per microlitre,#/ul,Unavailable,1,false,2008-02-20 11:15:48.0
http://vocab.nerc.ac.uk/collection/P06/current/UCNL/,SDN:P06::UCNL,Number per nanolitre,#/nl,Unavailable,1,false,2008-03-04 13:00:01.0
http://vocab.nerc.ac.uk/collection/P06/current/UCPL/,SDN:P06::UCPL,Number per litre,#/l,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/NBTM/,SDN:P06::NBTM,Number per 100 millilitres,#/100ml,Count of an entity or phenomenon occurrence in one part in 10^6 of the SI unit of volume (cubic metre).,1,false,2023-06-28 10:07:56.0
http://vocab.nerc.ac.uk/collection/P06/current/UBQL/,SDN:P06::UBQL,Becquerels per litre,Bq/l,One radioactive disintegration per second from a one part in 10^3 of the SI unit of volume (cubic metre).,4,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/MEQL/,SDN:P06::MEQL,MilliEquivalents per litre,mEquiv/l,The amount of substance or substances in a litre of solution that will react with one milligram of hydrogen.,1,false,2012-12-18 09:41:20.0
http://vocab.nerc.ac.uk/collection/P06/current/UATM/,SDN:P06::UATM,Microatmospheres,uatm,Unavailable,1,false,2005-04-12 12:09:06.0
http://vocab.nerc.ac.uk/collection/P06/current/UBQK/,SDN:P06::UBQK,Becquerels per kilogram,Bq/kg,One radioactive disintegration per second from an SI standard unit of mass of sample.,3,false,2014-06-07 11:03:42.0
http://vocab.nerc.ac.uk/collection/P06/current/UWNM/,SDN:P06::UWNM,Watts per square metre per nanometre,W/m^2/nm,Unavailable,1,false,2003-11-05 15:13:12.0
